event,year,month,day,category,description,difficulty,region,tags,source,wikipediaSlug,imageCaption
Classical antiquity,2,,,war-politics,2 Classical antiquity,2,Global,,,,
End of ancient history in Europe,4,,,war-politics,4 End of ancient history in Europe,2,Europe,europe;ancient,,,
Horizontal timeline,5,,,war-politics,5 Horizontal timeline,2,Global,,,,
Citations and notes,8,,,war-politics,8 Citations and notes,2,Global,,,,
Sumer,1,,,war-politics,"Sumer is the earliest known civilization, located in the historical region of southern Mesopotamia, emerging during the Chalcolithic and early Bronze Ages between the 5th and 4th millennium BC. Like nearby Elam, it is one of the cradles of civilization, along with Egypt, the Indus Valley, the Erligang culture of the Yellow River valley, Caral-Supe, and Mesoamerica.",2,Asia,,https://en.wikipedia.org/wiki/Sumer,Sumer,Ancient Mesopotamian civilization from 3300 to 1900 BC
Akkadian Empire,15,,,war-politics,"The Akkadian Empire or the Kingdom of Akkad/Agade was an ancient kingdom established around 2334 BCE, and the first empire in world history, succeeding the long-lived city-states of Sumer.",2,Global,empire;ancient,https://en.wikipedia.org/wiki/Akkadian_Empire,Akkadian_Empire,State in Mesopotamia (c. 2334–2154 BC)
Mammoth,2000,,,war-politics,"A mammoth is a member of the extinct elephantid genus Mammuthus. They lived from the late Miocene epoch into the Holocene until about 4,000 years ago, with mammoth species at various times inhabiting Africa, Asia, Europe and North America.",2,Europe,africa;asia;europe,https://en.wikipedia.org/wiki/Mammoth,Mammoth,Extinct genus of mammals
Erlitou culture,1900,,,science-technology,"The Erlitou culture was an early Bronze Age society and archaeological culture. It existed in the Yellow River valley from approximately 1900 to 1500 BC. A 2007 study using radiocarbon dating proposed a narrower date range of 1750–1530 BC. The culture is named after Erlitou, an archaeological site in Yanshi, Henan.",2,Global,,https://en.wikipedia.org/wiki/Erlitou_culture,Erlitou_culture,Bronze Age culture in China
Proto-Sinaitic script,1850,,,war-politics,"The Proto-Sinaitic script is a Middle Bronze Age writing system known from a small corpus of about 30–40 inscriptions and fragments from Serabit el-Khadim in the Sinai Peninsula, as well as two inscriptions from Wadi el-Hol in Middle Egypt. Together with about 20 known Proto-Canaanite inscriptions, it is also known as Early Alphabetic, i.e.",2,Middle East,,https://en.wikipedia.org/wiki/Proto-Sinaitic_script,Proto-Sinaitic_script,Middle Bronze Age script
Epic of Gilgamesh,1800,,,war-politics,"The Epic of Gilgamesh is an epic from ancient Mesopotamia. The literary history of Gilgamesh begins with five Sumerian poems about Gilgamesh, king of Uruk, some of which may date back to the Third Dynasty of Ur. These independent stories were later used as source material for a combined epic in Akkadian.",2,Asia,ancient,https://en.wikipedia.org/wiki/Epic_of_Gilgamesh,Epic_of_Gilgamesh,Epic poem from Mesopotamia
Code of Hammurabi,1780,,,war-politics,"The Code of Hammurabi is a Babylonian legal text composed c. 1753 BC. It is the longest, best-organized, and best-preserved legal text from the ancient Near East. It is written in the Old Babylonian dialect of Akkadian, purportedly by Hammurabi, sixth king of the First Dynasty of Babylon. The primary copy of the text is inscribed on a basalt stele 2.25 m tall.",2,Asia,ancient,https://en.wikipedia.org/wiki/Code_of_Hammurabi,Code_of_Hammurabi,Babylonian legal text
Mycenaean Greece,1750,,,art-culture-religion,"Mycenaean Greece was the last phase of the Bronze Age in ancient Greece, spanning the period from approximately 1750 to 1050 BC. It represents the first advanced and distinctively Greek civilization in mainland Greece with its palatial states, urban organization, works of art, and writing system.",2,Europe,art;ancient,https://en.wikipedia.org/wiki/Mycenaean_civilization,Mycenaean_civilization,Late Bronze Age Greek civilization
Cemetery H culture,1700,,,exploration-disasters,"The Cemetery H culture was a Bronze Age culture in the Punjab region in the northern part of the Indian subcontinent, from about 1900 BCE until about 1300 BCE. It is regarded as a regional form of the late phase of the Harappan civilisation, but also as a phase of the Indo-Aryan migrations.",2,Asia,art,https://en.wikipedia.org/wiki/Cemetery_H_culture,Cemetery_H_culture,Bronze Age culture in northern Indian subcontinent
Minoan eruption,1600,,,exploration-disasters,"The Minoan eruption was a catastrophic volcanic eruption that devastated the Aegean island of Thera circa 1600 BC. It destroyed the Minoan settlement at Akrotiri, as well as communities and agricultural areas on nearby islands and the coast of Crete with subsequent earthquakes and tsunamis. With a Volcanic Explosivity Index (VEI) of 7, it resulted in the ejection of approximately 28–41 km3 (6.7–9.",2,Global,art;earthquake,https://en.wikipedia.org/wiki/Minoan_eruption,Minoan_eruption,Major volcanic eruption around 1600 BC
Shang dynasty,1600,,,war-politics,"The Shang dynasty, also known as the Yin dynasty, was a Chinese royal dynasty that ruled in the Yellow River valley during the 2nd millennium BC, traditionally succeeding the Xia dynasty and followed by the Western Zhou dynasty. The classic account of the Shang comes from texts such as the Book of Documents, Bamboo Annals and Shiji.",2,Global,,https://en.wikipedia.org/wiki/Shang_dynasty,Shang_dynasty,Chinese dynasty (c. 1600 – c. 1046 BC)
New Kingdom of Egypt,1550,,,war-politics,"The New Kingdom, also called the Egyptian Empire, refers to ancient Egypt between the 16th century BC and the 11th century BC. This period of ancient Egyptian history covers the Eighteenth, Nineteenth, and Twentieth dynasties. Through radiocarbon dating, the establishment of the New Kingdom has been placed between 1570 and 1544 BC.",2,Middle East,empire;ancient,https://en.wikipedia.org/wiki/New_Kingdom_of_Egypt,New_Kingdom_of_Egypt,Period in ancient Egyptian history (c. 1570–1069 BC)
Olmecs,1500,,,war-politics,"The Olmecs or Olmec were an early major Mesoamerican civilization, flourishing in the modern-day Mexican states of Veracruz and Tabasco from roughly 1200 to 400 BC during Mesoamerica's formative period. They were initially centered at the site of their development in San Lorenzo Tenochtitlán, but moved to La Venta in the 10th century BC following the decline of San Lorenzo.",2,Americas,modern,https://en.wikipedia.org/wiki/Olmec_civilization,Olmec_civilization,Earliest known major Mesoamerican civilization
Rigveda,1500,,,war-politics,"The Rigveda or Rig Veda is an ancient Indian collection of Vedic Sanskrit hymns (sūktas). It is one of the four sacred canonical Hindu texts (śruti) known as the Vedas. Only one Shakha of the many survive today, namely the Śakalya Shakha. Much of the contents contained in the remaining Shakhas are now lost or are not available in the public forum.",2,Asia,ancient,https://en.wikipedia.org/wiki/Rigveda,Rigveda,First sacred canonical text of Hinduism
Nok culture,1500,,,exploration-disasters,"The Nok culture is a population whose material remains are named after the Ham village of Nok in southern Kaduna State of Nigeria, where their terracotta sculptures were first discovered in 1928. The Nok people and the Gajiganna people may have migrated from the Central Sahara, along with pearl millet and pottery, and diverged prior to arriving in the northern region of modern-day Nigeria.",2,Africa,modern,https://en.wikipedia.org/wiki/Nok_culture,Nok_culture,Ancient civilization of Nigeria
Hurrian songs,1400,,,war-politics,"The Hurrian songs are a collection of music written in cuneiform on clay tablets excavated from the ancient city of Ugarit, a headland in northern Syria, which date to approximately 1400 BCE. One of these tablets, which is nearly complete, contains the Hurrian Hymn to Nikkal, making it the oldest surviving substantially complete work of notated music in the world.",2,Middle East,music;ancient,https://en.wikipedia.org/wiki/Hurrian_songs,Hurrian_songs,Collection of music dating from approximately 1400 BCE
Merneptah Stele,1209,,,science-technology,"The Merneptah Stele, also known as the Israel Stele or the Victory Stele of Merneptah, is an inscription by Merneptah, a pharaoh in ancient Egypt who reigned from 1213 to 1203 BCE. Discovered by Flinders Petrie at Thebes in 1896, it is now housed at the Egyptian Museum in Cairo.",2,Middle East,ancient,https://en.wikipedia.org/wiki/Merneptah_Stele,Merneptah_Stele,Inscription by the ancient Egyptian pharaoh Merneptah
Late Bronze Age collapse,1200,,,art-culture-religion,"The Late Bronze Age collapse was a period of societal collapse in the Mediterranean basin during the late 13th to early 12th century BC. It is thought to have affected much of the Eastern Mediterranean and Near East, in particular Egypt, Anatolia, the Aegean, eastern Libya, and the Balkans.",2,Middle East,art,https://en.wikipedia.org/wiki/Late_Bronze_Age_collapse,Late_Bronze_Age_collapse,Societal collapse in the Late Bronze Age
Hallstatt culture,1200,,,war-politics,"The Hallstatt culture was the predominant Western and Central European archaeological culture of the Late Bronze Age from the 12th to 8th centuries BC and Early Iron Age Europe from the 8th to 6th centuries BC, developing out of the Urnfield culture of the 12th century BC and followed in much of its area by the La Tène culture. It is commonly associated with Proto-Celtic speaking populations.",2,Europe,europe,https://en.wikipedia.org/wiki/Hallstatt_culture,Hallstatt_culture,Archaeological culture in Europe
Hittites,1180,,,war-politics,"The Hittites were an Anatolian Indo-European people who formed one of the first major civilizations of the Bronze Age in West Asia. Possibly originating from beyond the Black Sea, they settled in north-central Anatolia in the early 2nd millennium BC. There they formed a series of polities, including the kingdom of Kussara, the Kanesh or Neša, and an empire centered on their capital, Hattusa.",2,Europe,empire;asia;europe,https://en.wikipedia.org/wiki/Hittite_Empire,Hittite_Empire,Ancient Anatolian people of Kussara
Iron,1100,,,science-technology,"Iron is a chemical element; it has symbol Fe and atomic number 26. It is a metal that belongs to the first transition series and group 8 of the periodic table. It is, by mass, the most common element on Earth, forming much of Earth's outer and inner core. It is the fourth most abundant element in the Earth's crust. In its metallic state it was mainly deposited by meteorites.",2,Global,art;atomic,https://en.wikipedia.org/wiki/Iron,Iron,Chemical element with atomic number 26 (Fe)
Phoenician alphabet,1050,,,war-politics,"The Phoenician alphabet is an abjad that was used across the Mediterranean civilization of Phoenicia for most of the 1st millennium BC. It was one of the first alphabets, attested in Canaanite and Aramaic inscriptions found across the Mediterranean basin.",2,Global,,https://en.wikipedia.org/wiki/Phoenician_alphabet,Phoenician_alphabet,Writing system used c. 1050 to 146 BC
Zhou dynasty,1046,,,war-politics,"The Zhou dynasty was a royal dynasty of China that existed for 789 years from c. 1046 BC until 256 BC, the longest span of any dynasty in Chinese history. During the Western Zhou period, the royal house, surnamed Ji, had military control over territories centered on the Wei River valley and North China Plain.",2,Asia,,https://en.wikipedia.org/wiki/Zhou_dynasty,Zhou_dynasty,Chinese dynasty from c. 1046 to 256 BC
Bantu expansion,1000,,,war-politics,"The Bantu expansion was a major series of prehistoric-migrations of the original Proto-Bantu-speaking group, which spread from an original nucleus around West-Central Africa across Central Africa, Eastern Africa, and Southern Africa.",2,Africa,africa,https://en.wikipedia.org/wiki/Bantu_expansion,Bantu_expansion,Postulated millennia-long series of migrations
Carthage,814,,,war-politics,Carthage was an ancient city in northern Africa founded by the legendary queen Dido on the eastern side of the Lake of Tunis in what is now Tunisia. Carthage was one of the most important trading hubs of the Ancient Mediterranean and one of the most affluent cities of the classical world. It became the capital city of the civilization of Ancient Carthage and later Roman Carthage.,2,Europe,art;africa;ancient,https://en.wikipedia.org/wiki/Carthage,Carthage,Archaeological site in Tunisia
Formation of the Kingdom of Macedonia by King Karanos [ 44 ],808,,,war-politics,808 BC: Formation of the Kingdom of Macedonia by King Karanos [ 44 ],2,Global,,,,
Ancient Greece,800,,,war-politics,"Ancient Greece was a northeastern Mediterranean civilization, existing from the Greek Dark Ages of the 12th–9th centuries BC to the end of classical antiquity, comprising a loose collection of culturally and linguistically related city-states and communities. Prior to the Roman period, most of these regions were officially unified only once under the Kingdom of Macedon from 338 to 323 BC.",2,Europe,ancient,https://en.wikipedia.org/wiki/Ancient_Greece,Ancient_Greece,Greek civilization from 1200 BC to 600 AD
Iron Age begins in Sungai Batu (Old Kedah),788,,,war-politics,788 BC: Iron Age begins in Sungai Batu (Old Kedah).,2,Global,,,,
Kingdom of Kush,785,,,war-politics,"The Kingdom of Kush, also known as the Kushite Empire, or simply Kush, was an ancient kingdom in Nubia, centered along the Nile Valley in what is now northern Sudan and southern Egypt.",2,Middle East,empire;ancient,https://en.wikipedia.org/wiki/Kingdom_of_Kush,Kingdom_of_Kush,"Ancient kingdom in Nubia, Africa"
Ancient Olympic Games,776,,,war-politics,"The ancient Olympic Games, or the ancient Olympics, were a series of athletic competitions among representatives of city-states and one of the Panhellenic Games of ancient Greece. They were held at the Panhellenic religious sanctuary of Olympia, in honor of Zeus, and the Greeks gave them a mythological origin. The originating Olympic Games are traditionally dated to 776 BC.",2,Europe,ancient,https://en.wikipedia.org/wiki/Ancient_Olympic_Games,Ancient_Olympic_Games,Athletic competitions in ancient Greece
Spring and Autumn period,771,,,war-politics,"The Spring and Autumn period was a period in Chinese history corresponding roughly to the first half of the Eastern Zhou, characterized by the gradual erosion of royal power as local lords nominally subject to the Zhou exercised increasing political autonomy.",2,Global,,https://en.wikipedia.org/wiki/Spring_and_Autumn_period,Spring_and_Autumn_period,Period in Chinese history (c. 770 – c. 481 BCE)
Ancient Rome,753,,,war-politics,"In modern historiography, ancient Rome is the Roman civilisation from the founding of the Italian city of Rome in the 8th century BC to the collapse of the Western Roman Empire in the 5th century AD. It encompasses the Roman Kingdom (753–509 BC), the Roman Republic (509‍–‍27 BC), and the Roman Empire until the fall of the western empire.",2,Europe,empire;ancient;modern;republic,https://en.wikipedia.org/wiki/Ancient_Rome,Ancient_Rome,Roman civilisation from the 8th century BC to the 5th century AD
Tiglath-Pileser III,745,,,war-politics,"Tiglath-Pileser III, sometimes called Pulu or Pul, was the Neo-Assyrian emperor from 745 BC to his death in 727. One of the most prominent and historically significant Assyrian rulers, Tiglath-Pileser ended a period of Assyrian stagnation, introduced numerous political and military reforms, and doubled the lands under Assyrian control.",2,Asia,,https://en.wikipedia.org/wiki/Tiglath-Pileser_III,Tiglath-Pileser_III,"8th-Century BCE Assyrian king, Neo-Assyrian Empire"
Assyrian captivity,732,,,war-politics,"The Assyrian captivity, also called the Assyrian exile, is the period in the history of ancient Israel and Judah during which tens of thousands of Israelites from the Kingdom of Israel were dispossessed and forcibly relocated by the Neo-Assyrian Empire.",2,Asia,empire;ancient,https://en.wikipedia.org/wiki/Assyrian_captivity,Assyrian_captivity,Ancient Israelites relocated by the Neo-Assyrian Empire
Median kingdom,728,,,war-politics,"Media was a polity centered in Ecbatana that existed from the 7th century BCE until the mid-6th century BCE, and is believed to have dominated a significant portion of the Iranian plateau, preceding the powerful Achaemenid Empire. The frequent interference in the Zagros Mountains by the Neo-Assyrian Empire, located in Upper Mesopotamia, led to the unification of the Median tribes.",2,Asia,empire,https://en.wikipedia.org/wiki/Median_Empire,Median_Empire,Ancient state in West Asia
Marib Dam,700,,,war-politics,"The Marib Dam is a dam blocking wadi Adhanah in the Balaq Hills, located in the Ma'rib Governorate in Yemen. The current dam was built in the 1980s and is close to the ruins of the ancient dam, first built in the 8th century BC. It was one of the engineering wonders of the ancient world and a central part of the Sabaean and Himyarite kingdoms around Ma'rib.",2,Global,art;ancient,https://en.wikipedia.org/wiki/Marib_Dam,Marib_Dam,Dam and archaeological site in Yemen
Achaemenid Empire,653,,,war-politics,"The Achaemenid Empire was an ancient Iranian empire founded by Cyrus the Great of the Achaemenid dynasty in 550 BC. At peak, its territorial extent was roughly 5.5 million square kilometres, making it the largest empire of its time.",2,Middle East,empire;ancient,https://en.wikipedia.org/wiki/Achaemenid_Empire,Achaemenid_Empire,"Ancient Iranian empire, 550–330 BC"
Urewe,650,,,war-politics,The Urewe culture developed and spread in and around the Lake Victoria region of Africa during the African Iron Age.,2,Africa,africa,https://en.wikipedia.org/wiki/Urewe,Urewe,Culture of the African Iron Age
Draco (legislator),621,,,war-politics,"Draco was the first legislator of Athens in Ancient Greece according to Athenian tradition and was active about 625 to 600 BC. He replaced the system of oral law and blood feud by the Draconian constitution, a written code to be enforced only by a court of law. His laws were supposed to have been very harsh, establishing the death penalty for most offenses.",2,Europe,ancient,https://en.wikipedia.org/wiki/Draco_(lawgiver),Draco_(lawgiver),First legislator of Athens in Ancient Greece
Nineveh,612,,,war-politics,"Nineveh was an ancient Near Eastern city of Upper Mesopotamia, located in the modern-day city of Mosul in northern Iraq. It is located on the eastern bank of the Tigris River and was the capital and largest city of the Neo-Assyrian Empire, and potentially the wealthiest city in the ancient world.",2,Asia,empire;ancient;modern,https://en.wikipedia.org/wiki/Nineveh,Nineveh,Ancient Assyrian city
Mahajanapadas,600,,,war-politics,"The Mahājanapadas were sixteen kingdoms and aristocratic republics that existed in ancient India from the sixth to fourth centuries BCE, during the second urbanisation period.",2,Asia,ancient;republic,https://en.wikipedia.org/wiki/Mahajanapadas,Mahajanapadas,Kingdoms in the Indian subcontinent (c. 600 BCE–c. 345 BCE)
Oaxaca,600,,,science-technology,"Oaxaca, officially the Free and Sovereign State of Oaxaca, is one of the 32 states that compose the Federative Entities of the United Mexican States. It is divided into 570 municipalities, of which 418 are governed by the system of usos y costumbres with recognized local forms of self-governance. Its capital city is Oaxaca de Juárez.",2,Global,,https://en.wikipedia.org/wiki/Oaxaca,Oaxaca,State of Mexico
Sao civilisation,600,,,art-culture-religion,"The Sao civilization flourished in Central Africa from the 6th century BCE or 5th century BCE, to as late as the 16th century AD. The Sao lived by the Chari River basin in territory that later became part of Cameroon and Chad. They were the earliest civilization to have left clear traces of their presence in the territory of modern Chad and Cameroon.",2,Africa,art;africa;modern,https://en.wikipedia.org/wiki/Sao_civilisation,Sao_civilisation,Central African civilization
Early Cholas,600,,,war-politics,"The Early Cholas were a Tamil kingdom of the Chola dynasty - pre and post Sangam period. It was one of the three main kingdoms of Tamilakam. Their early capitals were Urayur or Tiruchirapalli and Kaveripattinam. Along with the Pandyas and the Cheras, the Chola history goes back to the period when written records were scarce.",2,Global,,https://en.wikipedia.org/wiki/Early_Cholas,Early_Cholas,One of three ancient Tamil kingdoms
Solon,594,,,war-politics,"Solon was an archaic Athenian statesman, lawmaker, political philosopher, and poet. He was one of the Seven Sages of Greece and is credited with laying the foundations for Athenian democracy. Solon's efforts to legislate against political, economic and moral decline resulted in his constitutional reform overturning most of Draco's laws.",2,Europe,democracy,https://en.wikipedia.org/wiki/Solon,Solon,Athenian statesman (c. 630 – c. 560 BC)
The Buddha,563,,,art-culture-religion,"Siddhartha Gautama, most commonly referred to as the Buddha, was a wandering ascetic and religious teacher who lived in the eastern Indo-Gangetic Plains during the 6th or 5th century BCE and founded Buddhism. According to Buddhist legends, he was born in Lumbini, in what is now Nepal, to royal parents of the Shakya clan, but renounced his home life to live as a wandering ascetic.",2,Global,art,https://en.wikipedia.org/wiki/Siddhartha_Gautama,Siddhartha_Gautama,Founder of Buddhism
Confucius,551,,,art-culture-religion,"Confucius, born Kong Qiu, was a Chinese philosopher of the Spring and Autumn period who is traditionally considered the paragon of Chinese sages. Much of the shared cultural heritage of the Sinosphere originates in the philosophy and teachings of Confucius.",2,Global,philosophy,https://en.wikipedia.org/wiki/Confucius,Confucius,Chinese philosopher (c. 551 – c. 479 BCE)
Mahavira,549,,,war-politics,"Mahavira, also known by his birth name Vardhamana, was an Indian religious reformer and spiritual leader, considered by Jains to be the 24th and final Tirthankara in the current time cycle of Jain cosmology.",2,Asia,,https://en.wikipedia.org/wiki/Mahavira,Mahavira,Indian spiritual leader and the 24th Tirthankara of Jainism
Croesus,546,,,war-politics,"Croesus was the last king of Lydia from 585 or 561 BC to 547 BC. He was renowned for his great wealth, as well as his ultimate defeat by the Persian king Cyrus the Great following the siege of Sardis.",3,Asia,,https://en.wikipedia.org/wiki/Croesus,Croesus,King of Lydia from 585 or 561 to 547 BC
Sun Tzu,544,,,war-politics,"Sun Tzu was a Chinese military general, strategist, philosopher, and writer who lived during the Eastern Zhou period. Sun Tzu is traditionally credited as the author of The Art of War, a Classical Chinese text on military strategy from the Warring States period, though the earliest parts of the work probably date to at least a century after him.",2,Global,war;art,https://en.wikipedia.org/wiki/Sun_Tzu,Sun_Tzu,Chinese general (26 August 544 – 10 September 496 BC)
Magadha,544,,,war-politics,"Magadha was a region and kingdom in ancient India, based in the eastern Ganges Plain. It was one of the sixteen Mahajanapadas during the Second Urbanization period. The region was ruled by several dynasties, which overshadowed, conquered, and incorporated the other Mahajanapadas.",2,Asia,ancient,https://en.wikipedia.org/wiki/Magadha,Magadha,Region and Mahajanapada in ancient eastern India
Neo-Babylonian Empire,539,,,war-politics,"The Neo-Babylonian Empire or Second Babylonian Empire, historically known as the Chaldean Empire, was the last polity ruled by monarchs native to ancient Mesopotamia.",2,Asia,empire;ancient,https://en.wikipedia.org/wiki/Neo-Babylonian_Empire,Neo-Babylonian_Empire,Ancient Mesopotamian empire (626–539 BC)
Death of Cyrus the Great. [ 51 ],530,,,war-politics,530 BC: Death of Cyrus the Great. [ 51 ],2,Global,,,,
Cambyses II,525,,,war-politics,"Cambyses II was the second King of Kings of the Achaemenid Empire, reigning from 530 to 522 BCE. He was the son of and successor to Cyrus the Great ; his mother was Cassandane. His relatively brief reign was marked by his conquests in North Africa, notably Egypt, which he took by defeating pharaoh Psamtik III at the Battle of Pelusium in 525 BC.",3,Middle East,empire;africa,https://en.wikipedia.org/wiki/Cambyses_II,Cambyses_II,Ruler of the Achaemenid Empire from 530 to 522 BC
Darius the Great,512,,,war-politics,"Darius I, commonly known as Darius the Great, was the third King of Kings of the Achaemenid Empire, reigning from 522 BCE until his death in 486 BCE.",2,Global,empire,https://en.wikipedia.org/wiki/Darius_I,Darius_I,Persian ruler from 522 to 486 BCE
Roman Republic,-500,,,war-politics,"The Roman Republic was the era of classical Roman civilisation beginning with the overthrow of the Roman Kingdom and ending in 27 BC with the establishment of the Roman Empire following the War of Actium. During this period, Rome's control expanded from the city's immediate surroundings to hegemony over the entire Mediterranean world.",2,Europe,war;empire;republic,https://en.wikipedia.org/wiki/Roman_Republic,Roman_Republic,Period of Roman history (c. 509 – 27 BC)
Athenian democracy,508,,,war-politics,"Athenian democracy developed around the 6th century BC in the Greek city-state of Athens, comprising the city of Athens and the surrounding territory of Attica, and focusing on supporting liberty, equality, and security.",2,Global,democracy,https://en.wikipedia.org/wiki/Athenian_democracy,Athenian_democracy,Government regime in ancient Athens
Pāṇini,500,,,war-politics,"Panini was a Sanskrit grammarian, logician, philologist, and revered scholar of Ancient India during the mid-1st millennium BCE, dated variously by most scholars between the 6th–5th and 4th centuries BCE.",2,Asia,ancient,https://en.wikipedia.org/wiki/P%C4%81%E1%B9%87ini,Pāṇini,Ancient Sanskrit grammarian
Miletus,499,,,war-politics,"Miletus was an influential ancient Greek city on the western coast of Anatolia, near the mouth of the Maeander River in present day Turkey. Renowned in antiquity for its wealth, maritime power, and extensive network of colonies, Miletus was a major center of trade, culture, and innovation from the Bronze Age through the Roman period.",2,Europe,trade;ancient,https://en.wikipedia.org/wiki/Miletus,Miletus,Ancient Greek city in Asia-Minor
Battle of Marathon,490,,,war-politics,"The Battle of Marathon took place in 490 BC during the first Persian invasion of Greece. It was fought between the citizens of Athens, aided by Plataea, and a Persian force commanded by Datis and Artaphernes. The battle was the culmination of the first attempt by Persia under King Darius I to subjugate Greece.",3,Europe,art,https://en.wikipedia.org/wiki/Battle_of_Marathon,Battle_of_Marathon,490 BC battle in the Greco-Persian Wars
The Buddha,483,,,art-culture-religion,"Siddhartha Gautama, most commonly referred to as the Buddha, was a wandering ascetic and religious teacher who lived in the eastern Indo-Gangetic Plains during the 6th or 5th century BCE and founded Buddhism. According to Buddhist legends, he was born in Lumbini, in what is now Nepal, to royal parents of the Shakya clan, but renounced his home life to live as a wandering ascetic.",2,Global,art,https://en.wikipedia.org/wiki/Gautama_Buddha,Gautama_Buddha,Founder of Buddhism
Xerxes I,480,,,war-politics,"Xerxes I was a Persian ruler who reigned as the fourth King of Kings of the Achaemenid Empire, reigning from 486 BC until his assassination in 465 BC. He was the son of Darius the Great and Atossa, a daughter of Cyrus the Great.",2,Asia,empire,https://en.wikipedia.org/wiki/Xerxes_I,Xerxes_I,King of Kings of the Achaemenid Empire from 486 to 465 BC
Death of Confucius,479,,,war-politics,479 BC: Death of Confucius.,2,Global,,,,
Warring States period,475,,,war-politics,"The Warring States period in Chinese history comprises the final centuries of the Zhou dynasty, which were characterized by warfare, bureaucratic and military reform, and political consolidation.",2,Global,war,https://en.wikipedia.org/wiki/Warring_States_period,Warring_States_period,"Period of Chinese history, c. 475 – 221 BC"
Democritus,460,,,science-technology,"Democritus was an Ancient Greek pre-Socratic philosopher from Abdera, primarily remembered today for his formulation of an atomic theory of the universe. Democritus wrote extensively on a wide variety of topics.",2,Global,ancient;atomic,https://en.wikipedia.org/wiki/Democritus,Democritus,Greek philosopher (c. 460–c. 370 BC)
Oresteia,458,,,war-politics,"The Oresteia is a trilogy of Greek tragedies written by Aeschylus in the 5th century BC, concerning the murder of Agamemnon by Clytemnestra, the murder of Clytemnestra by Orestes, the trial of Orestes, the end of the curse on the House of Atreus, and the pacification of the Furies.",2,Oceania,,https://en.wikipedia.org/wiki/Oresteia,Oresteia,Trilogy of Greek tragedies written by Aeschylus
The Greco-Persian Wars end,449,,,war-politics,449 BC: The Greco-Persian Wars end.,2,Asia,war,,,
Parthenon,447,,,art-culture-religion,"The Parthenon is a former temple on the Athenian Acropolis, Greece, that was dedicated to the goddess Athena. Its decorative sculptures are considered some of the high points of classical Greek art, and the Parthenon is considered an enduring symbol of ancient Greece, Western civilisation, and democracy.",2,Europe,art;ancient;democracy,https://en.wikipedia.org/wiki/Parthenon,Parthenon,"Temple on the Athenian Acropolis, Greece"
Construction of the Parthenon is completed,432,,,art-culture-religion,432 BC: Construction of the Parthenon is completed.,2,Global,art,,,
